NumeroLancamento,DataCompetencia,DW,Local,Diff,DescricaoDW,DescricaoLocal,NaturezaDW,NaturezaLocal
350716,2025-10,0.00,1155390.89,-1155390.89,,FATURAMENTO DE LOCAÇÃO DE 01/10/2025 A 31/10/2025 FA-51188,,01.01.01.001 - LOCAÇÃO 
353572,2025-11,0.00,1033685.45,-1033685.45,,FATURAMENTO DE LOCAÇÃO DE 01/11/2025 A 30/11/2025 FA-51970,,01.01.01.001 - LOCAÇÃO 
355067,2025-11,0.00,734701.00,-734701.00,,FATURAMENTO DE LOCAÇÃO CTO-2736 DE 01/11/2025 A 30/11/2025 FA-52408,,01.01.01.001 - LOCAÇÃO 
352550,2025-10,0.00,734701.00,-734701.00,,FATURAMENTO DE LOCAÇÃO CTO-2736 DE 01/10/2025 A 31/10/2025 FA-51608,,01.01.01.001 - LOCAÇÃO 
355221,2025-11,0.00,704030.14,-704030.14,,FATURAMENTO DE LOCAÇÃO CTO-2822 DE 01/11/2025 A 30/11/2025 FA-52418,,01.01.01.001 - LOCAÇÃO 
354839,2025-11,0.00,531267.53,-531267.53,,FATURAMENTO DE LOCAÇÃO CTO-2589 DE 01/11/2025 A 30/11/2025 FA-52361,,01.01.01.001 - LOCAÇÃO 
352113,2025-10,0.00,531267.53,-531267.53,,FATURAMENTO DE LOCAÇÃO CTO-2589 DE 01/10/2025 A 31/10/2025 FA-51504,,01.01.01.001 - LOCAÇÃO 
350229,2025-10,0.00,407758.33,-407758.33,,,,01.01.01.001 - LOCAÇÃO 
352555,2025-11,0.00,407703.33,-407703.33,,,,01.01.01.001 - LOCAÇÃO 
353567,2025-10,0.00,388511.42,-388511.42,,FATURAMENTO DE LOCAÇÃO CTO-2822 DE 01/10/2025 A 31/10/2025 FA-51969,,01.01.01.001 - LOCAÇÃO 
355281,2025-11,0.00,366923.92,-366923.92,,FATURAMENTO DE LOCAÇÃO CTO-2473 DE 01/11/2025 A 30/11/2025 FA-52423,,01.01.01.001 - LOCAÇÃO 
352111,2025-10,0.00,366923.92,-366923.92,,FATURAMENTO DE LOCAÇÃO CTO-2473 DE 01/10/2025 A 31/10/2025 FA-51502,,01.01.01.001 - LOCAÇÃO 
355282,2025-11,0.00,279675.00,-279675.00,,FATURAMENTO DE LOCAÇÃO CTO-2803 DE 01/11/2025 A 30/11/2025 FA-52424,,01.01.01.001 - LOCAÇÃO 
352112,2025-10,0.00,279675.00,-279675.00,,FATURAMENTO DE LOCAÇÃO CTO-2803 DE 01/10/2025 A 31/10/2025 FA-51503,,01.01.01.001 - LOCAÇÃO 
354941,2025-11,0.00,234113.28,-234113.28,,FATURAMENTO DE LOCAÇÃO CTO-2542 DE 01/11/2025 A 30/11/2025 FA-52382,,01.01.01.001 - LOCAÇÃO 
351975,2025-10,0.00,234113.28,-234113.28,,FATURAMENTO DE LOCAÇÃO CTO-2542 DE 01/10/2025 A 31/10/2025 FA-51490,,01.01.01.001 - LOCAÇÃO 
354859,2025-11,0.00,224322.84,-224322.84,,FATURAMENTO DE LOCAÇÃO CTO-2407 DE 01/11/2025 A 30/11/2025 FA-52371,,01.01.01.001 - LOCAÇÃO 
351607,2025-10,0.00,220442.18,-220442.18,,FATURAMENTO DE LOCAÇÃO CTO-2407 DE 01/10/2025 A 31/10/2025 FA-51390,,01.01.01.001 - LOCAÇÃO 
353566,2025-10,0.00,200341.40,-200341.40,,FATURAMENTO DE LOCAÇÃO CTO-2298 DE 01/10/2025 A 31/10/2025 FA-51968,,01.01.01.001 - LOCAÇÃO 
352766,2025-11,0.00,160119.00,-160119.00,,FATURAMENTO DE LOCAÇÃO CTO-2313 DE 01/11/2025 A 30/11/2025 FA-51636,,01.01.01.001 - LOCAÇÃO 
